"Date","CUST","SKU","SALES","Forecast_Type"
2014-12-18,"7577","12GL",0,"ACTUAL"
2014-12-19,"7577","12GL",4,"ACTUAL"
2014-12-20,"7577","12GL",0,"ACTUAL"
2014-12-21,"7577","12GL",6,"ACTUAL"
2014-12-22,"7577","12GL",0,"ACTUAL"
2014-12-23,"7577","12GL",3,"ACTUAL"
2014-12-24,"7577","12GL",0,"ACTUAL"
2014-12-25,"7577","12GL",4,"ACTUAL"
2014-12-26,"7577","12GL",0,"ACTUAL"
2014-12-27,"7577","12GL",1,"ACTUAL"
2014-12-28,"7577","12GL",0,"ACTUAL"
2014-12-29,"7577","12GL",4,"ACTUAL"
2014-12-30,"7577","12GL",0,"ACTUAL"
2014-12-31,"7577","12GL",9,"ACTUAL"
2015-01-01,"7577","12GL",0,"ACTUAL"
2015-01-02,"7577","12GL",12,"ACTUAL"
2015-01-03,"7577","12GL",2,"ACTUAL"
2015-01-04,"7577","12GL",0,"ACTUAL"
2015-01-05,"7577","12GL",0,"ACTUAL"
2015-01-06,"7577","12GL",0,"ACTUAL"
2015-01-07,"7577","12GL",0,"ACTUAL"
2015-01-08,"7577","12GL",0,"ACTUAL"
2015-01-09,"7577","12GL",7,"ACTUAL"
2015-01-10,"7577","12GL",8,"ACTUAL"
2015-01-11,"7577","12GL",0,"ACTUAL"
2015-01-12,"7577","12GL",0,"ACTUAL"
2015-01-13,"7577","12GL",0,"ACTUAL"
2015-01-14,"7577","12GL",8,"ACTUAL"
2015-01-15,"7577","12GL",0,"ACTUAL"
2015-01-16,"7577","12GL",3,"ACTUAL"
2015-01-17,"7577","12GL",0,"ACTUAL"
2015-01-18,"7577","12GL",9,"ACTUAL"
2015-01-19,"7577","12GL",0,"ACTUAL"
2015-01-20,"7577","12GL",5,"ACTUAL"
2015-01-21,"7577","12GL",0,"ACTUAL"
2015-01-22,"7577","12GL",5,"ACTUAL"
2015-01-23,"7577","12GL",0,"ACTUAL"
2015-01-24,"7577","12GL",7,"ACTUAL"
2015-01-25,"7577","12GL",0,"ACTUAL"
2015-01-26,"7577","12GL",7,"ACTUAL"
2015-01-27,"7577","12GL",0,"ACTUAL"
2015-01-28,"7577","12GL",5,"ACTUAL"
2015-01-29,"7577","12GL",0,"ACTUAL"
2015-01-30,"7577","12GL",1,"ACTUAL"
2015-01-31,"7577","12GL",0,"ACTUAL"
2015-02-01,"7577","12GL",2,"ACTUAL"
2015-02-02,"7577","12GL",0,"ACTUAL"
2015-02-03,"7577","12GL",0,"ACTUAL"
2015-02-04,"7577","12GL",1,"ACTUAL"
2015-02-05,"7577","12GL",0,"ACTUAL"
2015-02-06,"7577","12GL",2,"ACTUAL"
2015-02-07,"7577","12GL",1,"ACTUAL"
2015-02-08,"7577","12GL",5,"ACTUAL"
2015-02-09,"7577","12GL",0,"ACTUAL"
2015-02-10,"7577","12GL",0,"ACTUAL"
2015-02-11,"7577","12GL",4,"ACTUAL"
2015-02-12,"7577","12GL",2,"ACTUAL"
2015-02-13,"7577","12GL",6,"ACTUAL"
2015-02-14,"7577","12GL",0,"ACTUAL"
2015-02-15,"7577","12GL",8,"ACTUAL"
2015-02-16,"7577","12GL",0,"ACTUAL"
2015-02-17,"7577","12GL",4,"ACTUAL"
2015-02-18,"7577","12GL",0,"ACTUAL"
2015-02-19,"7577","12GL",0,"ACTUAL"
2015-02-20,"7577","12GL",0,"ACTUAL"
2015-02-21,"7577","12GL",8,"ACTUAL"
2015-02-22,"7577","12GL",0,"ACTUAL"
2015-02-23,"7577","12GL",11,"ACTUAL"
2015-02-24,"7577","12GL",0,"ACTUAL"
2015-02-25,"7577","12GL",11,"ACTUAL"
2015-02-26,"7577","12GL",0,"ACTUAL"
2015-02-27,"7577","12GL",1,"ACTUAL"
2015-02-28,"7577","12GL",0,"ACTUAL"
2015-03-01,"7577","12GL",0,"ACTUAL"
2015-03-02,"7577","12GL",4,"ACTUAL"
2015-03-03,"7577","12GL",6,"ACTUAL"
2015-03-04,"7577","12GL",0,"ACTUAL"
2015-03-05,"7577","12GL",0,"ACTUAL"
2015-03-06,"7577","12GL",0,"ACTUAL"
2015-03-07,"7577","12GL",0,"ACTUAL"
2015-03-08,"7577","12GL",0,"ACTUAL"
2015-03-09,"7577","12GL",0,"ACTUAL"
2015-03-10,"7577","12GL",3,"ACTUAL"
2015-03-11,"7577","12GL",0,"ACTUAL"
2015-03-12,"7577","12GL",0,"ACTUAL"
2015-03-13,"7577","12GL",2,"ACTUAL"
2015-03-14,"7577","12GL",0,"ACTUAL"
2015-03-15,"7577","12GL",9,"ACTUAL"
2015-03-16,"7577","12GL",0,"ACTUAL"
2015-03-17,"7577","12GL",7,"ACTUAL"
2015-03-18,"7577","12GL",0,"ACTUAL"
2015-03-19,"7577","12GL",5,"ACTUAL"
2015-03-20,"7577","12GL",0,"ACTUAL"
2015-03-21,"7577","12GL",8,"ACTUAL"
2015-03-22,"7577","12GL",0,"ACTUAL"
2015-03-23,"7577","12GL",4,"ACTUAL"
2015-03-24,"7577","12GL",0,"ACTUAL"
2015-03-25,"7577","12GL",6,"ACTUAL"
2015-03-26,"7577","12GL",0,"ACTUAL"
2015-03-27,"7577","12GL",0,"ACTUAL"
