Date,CUST,SKU,SALES,Forecast_Type
12/7/2014,7577,12GL,4,ACTUAL
12/8/2014,7577,12GL,0,ACTUAL
12/9/2014,7577,12GL,0,ACTUAL
12/10/2014,7577,12GL,7,ACTUAL
12/11/2014,7577,12GL,0,ACTUAL
12/12/2014,7577,12GL,0,ACTUAL
12/13/2014,7577,12GL,6,ACTUAL
12/14/2014,7577,12GL,0,ACTUAL
12/15/2014,7577,12GL,2,ACTUAL
12/16/2014,7577,12GL,0,ACTUAL
12/17/2014,7577,12GL,4,ACTUAL
12/18/2014,7577,12GL,0,ACTUAL
12/19/2014,7577,12GL,4,ACTUAL
12/20/2014,7577,12GL,0,ACTUAL
12/21/2014,7577,12GL,6,ACTUAL
12/22/2014,7577,12GL,0,ACTUAL
12/23/2014,7577,12GL,3,ACTUAL
12/24/2014,7577,12GL,0,ACTUAL
12/25/2014,7577,12GL,4,ACTUAL
12/26/2014,7577,12GL,0,ACTUAL
12/27/2014,7577,12GL,1,ACTUAL
12/28/2014,7577,12GL,0,ACTUAL
12/29/2014,7577,12GL,4,ACTUAL
12/30/2014,7577,12GL,0,ACTUAL
12/31/2014,7577,12GL,9,ACTUAL
1/1/2015,7577,12GL,0,ACTUAL
1/2/2015,7577,12GL,12,ACTUAL
1/3/2015,7577,12GL,2,ACTUAL
1/4/2015,7577,12GL,0,ACTUAL
1/5/2015,7577,12GL,0,ACTUAL
1/6/2015,7577,12GL,0,ACTUAL
1/7/2015,7577,12GL,0,ACTUAL
1/8/2015,7577,12GL,0,ACTUAL
1/9/2015,7577,12GL,7,ACTUAL
1/10/2015,7577,12GL,8,ACTUAL
1/11/2015,7577,12GL,0,ACTUAL
1/12/2015,7577,12GL,0,ACTUAL
1/13/2015,7577,12GL,0,ACTUAL
1/14/2015,7577,12GL,8,ACTUAL
1/15/2015,7577,12GL,0,ACTUAL
1/16/2015,7577,12GL,3,ACTUAL
1/17/2015,7577,12GL,0,ACTUAL
1/18/2015,7577,12GL,9,ACTUAL
1/19/2015,7577,12GL,0,ACTUAL
1/20/2015,7577,12GL,5,ACTUAL
1/21/2015,7577,12GL,0,ACTUAL
1/22/2015,7577,12GL,5,ACTUAL
1/23/2015,7577,12GL,0,ACTUAL
1/24/2015,7577,12GL,7,ACTUAL
1/25/2015,7577,12GL,0,ACTUAL
1/26/2015,7577,12GL,7,ACTUAL
1/27/2015,7577,12GL,0,ACTUAL
1/28/2015,7577,12GL,5,ACTUAL
1/29/2015,7577,12GL,0,ACTUAL
1/30/2015,7577,12GL,1,ACTUAL
1/31/2015,7577,12GL,0,ACTUAL
2/1/2015,7577,12GL,2,ACTUAL
2/2/2015,7577,12GL,0,ACTUAL
2/3/2015,7577,12GL,0,ACTUAL
2/4/2015,7577,12GL,1,ACTUAL
